Date,solar_forecast,wind_off_forecast,wind_on_forecast,total_load,solar_capacity,wind_off_capacity,wind_on_capacity,electricity_price,daylight_hours,co2_price,gas_price,wind_forecast,wind_capacity,solar_penetration,wind_penetration,solar_binary,Hour,Day,Month,Year
2022-01-01 00:00:00,0.0,23711.96,102410.79,169240.83,67479,8149,58014,50.05,8.04,74.57,72.752,126122.75,66163,0.0,74.52,0,0,1,1,2022
2022-01-01 01:00:00,0.0,23338.32,98510.9,161676.38,67479,8149,58014,41.33,8.04,74.57,72.752,121849.22,66163,0.0,75.37,0,1,1,1,2022
2022-01-01 02:00:00,0.0,22318.58,93902.99,156383.46,67479,8149,58014,43.22,8.04,74.57,72.752,116221.57,66163,0.0,74.32,0,2,1,1,2022
2022-01-01 03:00:00,0.0,21115.75,89315.26,152266.2,67479,8149,58014,45.46,8.04,74.57,72.752,110431.01,66163,0.0,72.52,0,3,1,1,2022
2022-01-01 04:00:00,0.0,19871.89,85151.19,152754.26,67479,8149,58014,37.67,8.04,74.57,72.752,105023.08,66163,0.0,68.75,0,4,1,1,2022
2022-01-01 05:00:00,0.0,18597.12,80768.17,149367.64,67479,8149,58014,39.7,8.04,74.57,72.752,99365.29,66163,0.0,66.52,0,5,1,1,2022
2022-01-01 06:00:00,0.0,17665.12,77238.6,143663.86,67479,8149,58014,40.59,8.04,74.57,72.752,94903.72,66163,0.0,66.06,0,6,1,1,2022
2022-01-01 07:00:00,0.0,16675.48,72671.12,148907.76,67479,8149,58014,43.26,8.04,74.57,72.752,89346.6,66163,0.0,60.0,0,7,1,1,2022
2022-01-01 08:00:00,1342.6,15526.02,67844.42,159194.01,67479,8149,58014,49.66,8.04,74.57,72.752,83370.44,66163,0.84,52.37,1,8,1,1,2022
2022-01-01 09:00:00,8127.05,14846.09,61869.05,170726.78,67479,8149,58014,70.05,8.04,74.57,72.752,76715.14,66163,4.76,44.93,1,9,1,1,2022
2022-01-01 10:00:00,17034.81,15508.06,55094.49,180556.89,67479,8149,58014,76.79,8.04,74.57,72.752,70602.55,66163,9.43,39.1,1,10,1,1,2022
2022-01-01 11:00:00,24339.89,16568.78,48456.82,192071.69,67479,8149,58014,84.1,8.04,74.57,72.752,65025.6,66163,12.67,33.85,1,11,1,1,2022
2022-01-01 12:00:00,27640.55,17563.98,42444.89,195864.57,67479,8149,58014,94.74,8.04,74.57,72.752,60008.87,66163,14.11,30.64,1,12,1,1,2022
2022-01-01 13:00:00,25418.3,19072.54,36393.56,190720.64,67479,8149,58014,96.8,8.04,74.57,72.752,55466.1,66163,13.33,29.08,1,13,1,1,2022
2022-01-01 14:00:00,18221.14,20539.71,31908.84,185666.78,67479,8149,58014,97.17,8.04,74.57,72.752,52448.55,66163,9.81,28.25,1,14,1,1,2022
2022-01-01 15:00:00,7719.35,21167.06,30595.37,185230.78,67479,8149,58014,101.0,8.04,74.57,72.752,51762.43,66163,4.17,27.94,1,15,1,1,2022
2022-01-01 16:00:00,723.46,21908.58,33153.29,192620.8,67479,8149,58014,126.6,8.04,74.57,72.752,55061.87,66163,0.38,28.59,1,16,1,1,2022
2022-01-01 17:00:00,0.0,22539.39,38623.03,205201.41,67479,8149,58014,149.97,8.04,74.57,72.752,61162.42,66163,0.0,29.81,0,17,1,1,2022
2022-01-01 18:00:00,0.0,22814.94,44700.54,209089.02,67479,8149,58014,146.33,8.04,74.57,72.752,67515.48,66163,0.0,32.29,0,18,1,1,2022
2022-01-01 19:00:00,0.0,22923.58,50313.93,203917.33,67479,8149,58014,140.28,8.04,74.57,72.752,73237.51,66163,0.0,35.92,0,19,1,1,2022
2022-01-01 20:00:00,0.0,23426.29,55206.99,195187.21,67479,8149,58014,121.88,8.04,74.57,72.752,78633.28,66163,0.0,40.29,0,20,1,1,2022
2022-01-01 21:00:00,0.0,24000.79,59844.0,190089.27,67479,8149,58014,102.61,8.04,74.57,72.752,83844.79,66163,0.0,44.11,0,21,1,1,2022
2022-01-01 22:00:00,0.0,24586.34,63292.6,188036.3,67479,8149,58014,97.46,8.04,74.57,72.752,87878.94,66163,0.0,46.74,0,22,1,1,2022
2022-01-01 23:00:00,0.0,24727.88,67255.16,178385.73,67479,8149,58014,85.16,8.04,74.57,72.752,91983.04,66163,0.0,51.56,0,23,1,1,2022
2022-01-02 00:00:00,0.0,25556.88,69748.32,182363.09,67479,8149,58014,57.08,8.06,74.57,71.712,95305.2,66163,0.0,52.26,0,0,2,1,2022
