date,wind_forecast,total_load,electricity_price
2022/1/1 0:00,126122.75,169240.83,50.05
2022/1/1 1:00,121849.22,161676.38,41.33
2022/1/1 2:00,116221.57,156383.46,43.22
2022/1/1 3:00,110431.01,152266.2,45.46
2022/1/1 4:00,105023.08,152754.26,37.67
2022/1/1 5:00,99365.29,149367.64,39.7
2022/1/1 6:00,94903.72,143663.86,40.59
2022/1/1 7:00,89346.6,148907.76,43.26
2022/1/1 8:00,83370.44,159194.01,49.66
2022/1/1 9:00,76715.14,170726.78,70.05
2022/1/1 10:00,70602.55,180556.89,76.79
2022/1/1 11:00,65025.6,192071.69,84.1
2022/1/1 12:00,60008.87,195864.57,94.74
2022/1/1 13:00,55466.1,190720.64,96.8
2022/1/1 14:00,52448.55,185666.78,97.17
2022/1/1 15:00,51762.43,185230.78,101.0
2022/1/1 16:00,55061.87,192620.8,126.6
2022/1/1 17:00,61162.42,205201.41,149.97
2022/1/1 18:00,67515.48,209089.02,146.33
2022/1/1 19:00,73237.51,203917.33,140.28
2022/1/1 20:00,78633.28,195187.21,121.88
2022/1/1 21:00,83844.79,190089.27,102.61
2022/1/1 22:00,87878.94,188036.3,97.46
2022/1/1 23:00,91983.04,178385.73,85.16
2022/1/2 0:00,95305.2,182363.09,57.08
2022/1/2 1:00,95410.56,177980.99,52.59
2022/1/2 2:00,95767.18,176496.95,48.97
2022/1/2 3:00,95947.38,175890.61,34.94
2022/1/2 4:00,95498.11,178352.31,29.56
2022/1/2 5:00,94775.54,177670.26,33.97
2022/1/2 6:00,96010.21,176253.15,34.52
2022/1/2 7:00,97576.12,179390.19,41.8
2022/1/2 8:00,100588.83,189772.29,48.95
2022/1/2 9:00,104790.24,203906.57,60.01
2022/1/2 10:00,109828.52,213170.41,70.09
2022/1/2 11:00,115913.49,221873.12,66.26
2022/1/2 12:00,124448.4,222393.64,64.54
2022/1/2 13:00,133996.21,218786.93,46.96
2022/1/2 14:00,143189.97,214778.51,40.01
2022/1/2 15:00,151806.78,212295.15,29.11
2022/1/2 16:00,157462.31,217434.37,32.76
2022/1/2 17:00,161107.05,229047.08,42.97
2022/1/2 18:00,162780.03,233372.26,60.96
2022/1/2 19:00,162865.09,231399.64,60.94
2022/1/2 20:00,161010.89,224015.01,54.12
2022/1/2 21:00,158723.9,217088.16,46.16
2022/1/2 22:00,153495.44,215190.06,46.29
2022/1/2 23:00,151694.44,204422.28,32.93
2022/1/3 0:00,146381.76,196314.51,0.31
2022/1/3 1:00,146548.36,189500.41,-0.01
2022/1/3 2:00,150183.19,187081.39,-0.07
2022/1/3 3:00,153409.11,188631.82,-1.05
2022/1/3 4:00,155677.94,194499.68,-1.0
2022/1/3 5:00,158133.74,205964.46,0.32
2022/1/3 6:00,162457.98,227874.57,37.55
2022/1/3 7:00,163504.81,246905.49,88.76
2022/1/3 8:00,163389.62,257136.33,122.93
2022/1/3 9:00,163040.62,262072.09,110.17
2022/1/3 10:00,163532.52,263381.49,93.38
2022/1/3 11:00,164935.33,269277.2,90.73
2022/1/3 12:00,165929.55,270615.67,82.37
2022/1/3 13:00,164847.69,267281.28,80.9
2022/1/3 14:00,161540.64,262250.88,80.99
2022/1/3 15:00,156823.38,259019.04,98.05
2022/1/3 16:00,153143.48,262673.58,123.51
2022/1/3 17:00,151662.83,270555.9,148.49
2022/1/3 18:00,150603.42,270221.83,138.0
2022/1/3 19:00,148199.41,267207.86,117.64
2022/1/3 20:00,144411.02,258119.09,117.71
2022/1/3 21:00,139366.46,249158.93,95.95
2022/1/3 22:00,130864.55,239533.34,105.68
2022/1/3 23:00,122215.19,225036.28,95.26
2022/1/4 0:00,108124.23,215109.3,103.7
2022/1/4 1:00,97359.71,207069.12,108.27
2022/1/4 2:00,87956.87,204246.09,105.92
2022/1/4 3:00,77864.43,204914.14,103.41
2022/1/4 4:00,68755.05,209539.77,102.71
2022/1/4 5:00,61078.06,219764.7,114.23
2022/1/4 6:00,55711.94,237956.88,156.91
2022/1/4 7:00,51195.95,255120.58,182.64
2022/1/4 8:00,47526.48,267387.66,178.91
2022/1/4 9:00,45308.97,272648.44,190.0
2022/1/4 10:00,44708.39,273693.2,189.88
2022/1/4 11:00,45639.04,278006.74,182.42
2022/1/4 12:00,48552.98,279340.31,182.46
2022/1/4 13:00,52840.37,275625.07,179.59
2022/1/4 14:00,57411.14,270643.8,179.0
2022/1/4 15:00,62260.19,266486.17,180.93
2022/1/4 16:00,66528.5,269154.86,166.69
2022/1/4 17:00,71570.84,277246.18,189.88
2022/1/4 18:00,77888.13,277292.43,184.94
2022/1/4 19:00,83996.18,272982.97,178.99
2022/1/4 20:00,89634.0,263128.08,156.12
2022/1/4 21:00,95613.76,254043.73,140.92
2022/1/4 22:00,100114.01,244977.03,137.92
2022/1/4 23:00,105068.35,230134.18,97.56
2022/1/5 0:00,98361.52,217979.12,105.31
2022/1/5 1:00,104298.23,212409.11,97.29
2022/1/5 2:00,111446.29,211110.52,84.5
2022/1/5 3:00,118639.76,212339.2,75.38
2022/1/5 4:00,126134.72,214456.27,79.11
2022/1/5 5:00,133243.11,222854.6,94.79
2022/1/5 6:00,142586.06,239638.39,99.16
2022/1/5 7:00,149235.51,262187.12,101.15
2022/1/5 8:00,154739.0,277944.96,129.56
2022/1/5 9:00,158461.34,283681.37,113.37
2022/1/5 10:00,160546.8,287943.41,94.43
2022/1/5 11:00,161963.09,293580.23,98.1
2022/1/5 12:00,162752.82,294232.84,95.68
2022/1/5 13:00,162699.04,290338.89,96.8
2022/1/5 14:00,160993.23,285397.2,107.32
2022/1/5 15:00,158441.85,280919.73,119.48
